id,type,coordinates,cluster
438038593,supermarket,"[77.156189, 28.524796]",0
449457279,supermarket,"[77.156498, 28.542428]",-1
610885937,dry_cleaning,"[77.121413, 28.593088]",-1
712874692,outdoor,"[77.169107, 28.588618]",1
928558283,tailor,"[77.220144, 28.635102]",2
1157203164,convenience,"[77.177467, 28.632466]",-1
1421697605,jewelry,"[77.219852, 28.627671]",2
1534482780,art,"[77.205989, 28.634645]",2
1762961283,shopping_centre,"[77.219119, 28.631392]",2
1800578898,clothes,"[77.214338, 28.602269]",-1
2209529029,bakery,"[77.226736, 28.616971]",-1
2282880355,supermarket,"[77.12069, 28.593316]",-1
2327524042,clothes,"[77.219181, 28.627656]",2
2408447437,convenience,"[77.054633, 28.564507]",-1
2408448450,supermarket,"[77.05945, 28.560106]",-1
2410180163,department_store,"[77.215372, 28.631258]",2
2429556490,sports,"[77.163798, 28.557346]",3
2429855429,alcohol,"[77.164096, 28.558663]",3
2592537219,alcohol,"[77.221316, 28.630947]",2
2592537223,confectionery,"[77.220063, 28.635353]",2
2592537271,gift,"[77.179875, 28.586009]",-1
3015900850,laundry,"[77.157239, 28.52654]",0
3015905205,laundry,"[77.158494, 28.526441]",0
3015905256,car_repair,"[77.155887, 28.526752]",0
3424238144,general,"[77.237835, 28.602194]",-1
3949841958,bicycle,"[77.209475, 28.638131]",2
3991743108,photo,"[77.222689, 28.633996]",2
3991743214,photo,"[77.222832, 28.633892]",2
4047437961,dairy,"[77.14547, 28.53872]",4
4047437968,florist,"[77.148656, 28.536325]",4
4047437971,stationery,"[77.152461, 28.533839]",4
4047437972,clothes,"[77.152749, 28.533841]",4
4052700419,jewelry,"[77.191962, 28.584635]",5
4052700420,beauty,"[77.191865, 28.584525]",5
4052700421,convenience,"[77.19204, 28.58451]",5
4052700422,jewelry,"[77.191629, 28.584607]",5
4052700423,convenience,"[77.191735, 28.584539]",5
4052700424,beauty,"[77.1918, 28.584403]",5
4052700426,jewelry,"[77.191885, 28.584257]",5
4069814471,clothes,"[77.218752, 28.634124]",2
4069860437,shoes,"[77.21861, 28.633992]",2
4122564393,confectionery,"[77.208566, 28.633697]",2
4211222822,cosmetics,"[77.195766, 28.574598]",6
4211259628,cosmetics,"[77.19548, 28.57646]",6
4211293736,computer,"[77.194715, 28.569746]",6
4211294514,photo,"[77.193599, 28.569884]",6
4219631339,clothes,"[77.217479, 28.630167]",2
4343776289,books,"[77.220085, 28.634527]",2
4413702093,clothes,"[77.125315, 28.543853]",7
4419876389,beverages,"[77.167819, 28.565788]",12
4443303491,clothes,"[77.218019, 28.632313]",2
4445099389,clothes,"[77.218344, 28.633329]",2
4445111189,clothes,"[77.219361, 28.63431]",2
4445111190,clothes,"[77.218711, 28.634106]",2
4447444793,travel_agency,"[77.21649, 28.633364]",2
4447524891,travel_agency,"[77.216974, 28.629754]",2
4454415194,ticket,"[77.218812, 28.639657]",2
4460479126,electronics,"[77.219701, 28.630714]",2
4484634889,books,"[77.227275, 28.600154]",8
4603972291,jewelry,"[77.084954, 28.555685]",-1
4603976990,bakery,"[77.084681, 28.556259]",-1
4679888370,florist,"[77.204551, 28.630292]",2
4686227895,supermarket,"[77.170584, 28.579899]",-1
4686237304,supermarket,"[77.18232, 28.5662]",-1
4709848499,bakery,"[77.22619, 28.599602]",8
4709852091,bakery,"[77.21807, 28.63338]",2
4709918689,bakery,"[77.22647, 28.599938]",8
4710031091,bakery,"[77.239834, 28.5965]",-1
4710075489,bakery,"[77.167632, 28.572549]",12
4711004415,yes,"[77.217458, 28.627089]",2
4711252131,bakery,"[77.204343, 28.634983]",2
4711298789,bakery,"[77.231977, 28.629463]",9
4711467995,bakery,"[77.108484, 28.613747]",-1
4711547291,bakery,"[77.156746, 28.593733]",-1
4716197061,convenience,"[77.212605, 28.634799]",2
4739935625,greengrocer,"[77.13574, 28.5382]",-1
4869833821,travel_agency,"[77.220838, 28.635406]",2
4936989322,books,"[77.221885, 28.631041]",2
5136712320,tea,"[77.186845, 28.602415]",10
5136715521,photo,"[77.186803, 28.602451]",10
5136715522,greengrocer,"[77.18678, 28.602477]",10
5136715524,copyshop,"[77.187064, 28.602236]",10
5136715525,yes,"[77.187119, 28.602189]",10
5136715526,convenience,"[77.18713, 28.60218]",10
5136715527,convenience,"[77.186641, 28.602634]",10
5136990521,travel_agency,"[77.186956, 28.602329]",10
5136990522,travel_agency,"[77.186946, 28.602338]",10
5136990523,stationery,"[77.186933, 28.602348]",10
5136990524,yes,"[77.186924, 28.602357]",10
5137399129,mobile_phone,"[77.187042, 28.602255]",10
5137399130,hairdresser,"[77.187053, 28.602246]",10
5137399131,hairdresser,"[77.187075, 28.602227]",10
5137399132,copyshop,"[77.187086, 28.602217]",10
5137399133,mobile_phone,"[77.187097, 28.602208]",10
5137399135,copyshop,"[77.186965, 28.602321]",10
5137399136,travel_agency,"[77.186976, 28.602312]",10
5137399137,mobile_phone,"[77.186987, 28.602302]",10
5137399138,dry_cleaning,"[77.186998, 28.602293]",10
5137399140,convenience,"[77.18702, 28.602274]",10
5137399141,electrical,"[77.187031, 28.602265]",10
5137961060,convenience,"[77.179331, 28.580463]",-1
5169576537,supermarket,"[77.123716, 28.575357]",-1
5170823792,supermarket,"[77.094289, 28.573863]",11
5170823794,dairy,"[77.094362, 28.57387]",11
5170864605,dairy,"[77.093372, 28.577027]",11
5170864824,dairy,"[77.097279, 28.575208]",11
5170864835,supermarket,"[77.09918, 28.576123]",11
5171190936,yes,"[77.097307, 28.575172]",11
5210438322,hairdresser,"[77.227155, 28.600769]",8
5247558865,kiosk,"[77.212177, 28.589538]",-1
5261696621,variety_store,"[77.190237, 28.573006]",6
5263184321,confectionery,"[77.205587, 28.633708]",2
5269021218,tobacco,"[77.160534, 28.567949]",12
5269021887,yes,"[77.165205, 28.569476]",12
5269021888,tobacco,"[77.159821, 28.567636]",12
5269021889,greengrocer,"[77.160626, 28.567839]",12
5294088225,alcohol,"[77.156061, 28.525136]",0
5306202248,florist,"[77.165586, 28.574355]",12
5338584666,greengrocer,"[77.205239, 28.626184]",2
5338584907,dairy,"[77.205224, 28.626181]",2
5344787461,tea,"[77.167219, 28.56533]",12
5346173472,kiosk,"[77.206393, 28.625825]",2
5346174279,kiosk,"[77.206359, 28.626]",2
5358882586,tobacco,"[77.17413, 28.572672]",-1
5440621529,convenience,"[77.21373, 28.615713]",-1
5521617170,clothes,"[77.216897, 28.630949]",2
5545574397,clothes,"[77.217894, 28.632777]",2
5545574399,clothes,"[77.220662, 28.631469]",2
